epoch,lr,train_loss,train_seg_loss,train_cls_loss,train_dice,train_iou,train_acc,val_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_acc
1,0.0001,0.6946713472598165,0.1584185853778877,1.0725055237720904,0.9394515450817446,0.8904743042330276,0.4137232327883951,0.5965548537473763,0.07787138568704459,1.0373669386261684,0.9617712598810505,0.9268276749458988,0.4744323426250692
2,9.990232305719945e-05,0.5784851570924123,0.056781192827098495,1.0434079283728346,0.9627456573272059,0.9284542267713318,0.4493207460280912,0.5571552726459362,0.06093346077542214,0.9924436247630105,0.9542510062895694,0.913370080314203,0.5279675096917112
3,9.960967771506666e-05,0.5385003218883528,0.06770484965589604,0.9415909448161749,0.9581033316984581,0.9199276544551603,0.5410545705733364,0.5141031127148321,0.06075671207500418,0.9066927999170129,0.9628814978409658,0.9291362525087542,0.5783644083441019
4,9.912321891107009e-05,0.4872361877566104,0.06507673285915268,0.8443189098031482,0.9656189867365645,0.9337483084662843,0.5855399493437716,0.4258932474791828,0.059729140771107865,0.7323282138502176,0.9670185929378577,0.9364676219699657,0.6566365146760199
5,9.844486647586723e-05,0.44896613181625283,0.06344681615987535,0.7710386307639092,0.966836246447449,0.9360024295239597,0.6403407782638729,0.4052756341465455,0.0595430983972233,0.6914650729382108,0.9668437262727799,0.9362098841013107,0.6725124607716448
6,9.757729755661011e-05,0.4106290973736656,0.06701782050904428,0.6872225529690913,0.9667487241725675,0.9358335927924618,0.7351139765139305,0.4162276684798322,0.06910306230121482,0.6942492134011953,0.9630001361391186,0.9292569815409218,0.7566918958833303
7,9.652393605146844e-05,0.35932973598028856,0.07406906844639866,0.5705213348729395,0.9652858633143248,0.9331004152201376,0.8280451300944048,0.31172158911956094,0.07445503885866003,0.4745331010547711,0.9653063366370919,0.9334867887616509,0.8755768875761492
8,9.528893909706797e-05,0.3129249631096206,0.0777778913028552,0.47029414354218085,0.9647116303443909,0.9320277403292296,0.8666820170389132,0.2799217199857256,0.08314992210506338,0.39354359550857615,0.9623665147650559,0.9280324944001032,0.8929296658667158
9,9.387718066217124e-05,0.2791664257782818,0.07788862564479229,0.4025556004673078,0.9648846000597622,0.9323535304701789,0.8865300483536726,0.25665531362404165,0.07443066178697401,0.3644493030257809,0.9658076217216728,0.9342978258224364,0.9004984308657928
10,9.229423231234974e-05,0.24929078260014728,0.07638723502968117,0.3458070953577263,0.9658097527962364,0.9340669836787229,0.9037071148975363,0.2284609085954396,0.07499849503436799,0.30692482662763565,0.9657376763743285,0.9342194907257338,0.9174820011076241
11,9.054634122155989e-05,0.22942037157316453,0.07478143538367243,0.309277872052421,0.9659687982299271,0.9343636858748687,0.9142528206309003,0.238534001270886,0.07850496519829496,0.3200580725462827,0.9674140100633852,0.9372602668659525,0.9089902159867085
12,8.864040551740155e-05,0.2110133555054006,0.07283260228856712,0.276361506230594,0.9667826656478544,0.9358660539430369,0.922634123877504,0.2720927802796385,0.07115423761220281,0.40187708496673796,0.9644706209676456,0.9319134036348281,0.8947757061103933
13,8.658394705735986e-05,0.1910584284867371,0.07142301513015895,0.23927082672550534,0.9673089642770603,0.9368539936415179,0.9365415611328575,0.2445538519032761,0.0684466619445643,0.35221437978967585,0.967586176936957,0.9375851559603812,0.9027136791582057
14,8.438508174347008e-05,0.17482684528520315,0.0697805944706689,0.21009250168944152,0.9679253011118641,0.9379988878910493,0.9441860465116279,0.2373269189885408,0.06828264315450526,0.3380885527669768,0.9662027448679493,0.9350946336369247,0.9023444711094701
15,8.205248749256013e-05,0.1602415503827687,0.0686034076053025,0.18327628537792967,0.9682118507599523,0.9385286291001251,0.9533962698595441,0.20843225823039502,0.06860743450401982,0.27964964754066285,0.9667694793689919,0.936168075926536,0.9171127930588887
16,7.959536998847742e-05,0.14855949763435028,0.06716164628362788,0.16279570266165347,0.9686377667590399,0.9393289757257887,0.9603960396039604,0.2072786764354393,0.06496757193630599,0.28462220880046357,0.9657954447037351,0.9343130403036213,0.9124976924496954
17,7.702342635146032e-05,0.13460243717933668,0.06558195973916278,0.13804095512252595,0.9691392660799606,0.9402699469422328,0.9676721160488142,0.2107187794263208,0.06459039666176195,0.2922567655881839,0.9696755945506701,0.9414597475423222,0.9185896252538306
18,7.434680686803489e-05,0.12567438450170265,0.06466377436510985,0.12202122048380515,0.9692647893564916,0.9404976479036813,0.9733364034077826,0.19424325356309394,0.05911583711384936,0.27025483264299355,0.9691460455237588,0.9404992055048985,0.9163743769614178
19,7.157607493247108e-05,0.11316090515277882,0.06283658891093007,0.10064863258248974,0.9698564251922551,0.9416071607263049,0.9799217131015427,0.22292633224443525,0.05747669371762546,0.33089927705361954,0.9697273487890012,0.9415840337761735,0.8916374376961418
20,6.872216535789155e-05,0.10902697665695767,0.06138294388301684,0.0952880655485677,0.9700597863610059,0.9419845723315498,0.9810269399032927,0.20323576111687144,0.05949226753088401,0.28748698727087635,0.9700890990485133,0.9422574258659442,0.9198818534244046
21,6.579634122155988e-05,0.10094737213372526,0.060170620458944946,0.08155350347613817,0.9703548060815856,0.9425429811574259,0.9845268247755008,0.1936140325316022,0.05574976811652514,0.2757285294757612,0.9706570534227872,0.943292614017616,0.9215432896437142
22,6.28101494146603e-05,0.09514400961621909,0.05895907403369525,0.07236987111839581,0.970776211271409,0.9433333009207007,0.9873819940133548,0.21306309116603175,0.055012225096490355,0.3161017318959499,0.9701148728705438,0.9423001452533193,0.9058519475724571
23,5.9775375071993364e-05,0.09253322365342144,0.057828335266416245,0.06940977686216873,0.9710617505164876,0.9438686813658334,0.9875201473635735,0.2098305611747556,0.05596654638812869,0.3077280293919344,0.970920452589834,0.9437904625164021,0.9158205648883145
24,5.670399506143306e-05,0.08113849463136816,0.05619258970694538,0.04989180996753344,0.9716740077371755,0.9450237241458718,0.993737048123417,0.22776658229727662,0.05281722739031181,0.3498987093565101,0.9706397654384287,0.9432715029843086,0.894960310134761
25,5.3608130716701005e-05,0.08228543791542615,0.05553250988297041,0.05350585616267463,0.971679048555771,0.9450284326932706,0.9912502878194797,0.20476782965888668,0.055804443584101214,0.2979267721433896,0.9712096951176635,0.9443382452898672,0.9219124976924497
26,5.049999999999999e-05,0.07762822516084156,0.054521118993587914,0.046214212274648815,0.972089579333697,0.9458040986052315,0.9927699746718858,0.20027211967822725,0.05394982041346025,0.29264459779051993,0.9715135054426559,0.9449022706806836,0.9145283367177405
27,4.7391869283298976e-05,0.07369314494163731,0.05366517917817359,0.040055931570492066,0.9723252865710531,0.9462476098295953,0.9948883260419065,0.19791586424023527,0.055161649465648825,0.28550842936510623,0.9714286837254302,0.9447462354789441,0.9274506184234816
28,4.429600493856693e-05,0.07010260310511124,0.05218155741087859,0.035842091337011,0.9728555960769373,0.9472450407389997,0.9962238084273544,0.23535754264038397,0.05481822843385921,0.36107862771249716,0.9708435672574338,0.943659954014781,0.9119438803765922
29,4.122462492800662e-05,0.06895263162793155,0.05149370950696438,0.03491784427898145,0.9729763420905856,0.9474734270989785,0.9959014506101773,0.2542432773100064,0.04809668883241735,0.41229317757605977,0.972298363932466,0.9463746460665644,0.8907144175743031
30,3.8189850585339674e-05,0.06512316759147477,0.05029407334385327,0.029658188444131754,0.9734787691363972,0.9484169059036845,0.9973750863458439,0.19654448953756629,0.048632110078931735,0.29582475833347543,0.9728156108420155,0.9473467483281386,0.9228355178142883
31,3.5203658778440106e-05,0.06288422526822564,0.04943738464904095,0.02689368121607253,0.9737585125048516,0.9489475367697124,0.9975592908128023,0.208847239945952,0.047775154199813846,0.3221441715877437,0.973072045408519,0.9478273607109149,0.9215432896437142
32,3.227783464210844e-05,0.061072854033601,0.04849056607424444,0.025164575898045636,0.9741465042967823,0.9496843040318779,0.9977895463965001,0.20076642425285768,0.048922361094493605,0.30368812664090533,0.9729842119863955,0.9476597637026007,0.9257891822041721
33,2.942392506752889e-05,0.05753618091289949,0.04749049365342103,0.020091374607286785,0.9745219508587326,0.9503931443774678,0.999125028781948,0.2041321578833953,0.047232433480477086,0.31379944913070046,0.9733542183683334,0.9483655052902424,0.9198818534244046
34,2.6653193131965075e-05,0.05866408373604822,0.046733928589119435,0.023860310377813807,0.974784225675502,0.9508884863300218,0.9982961086806355,0.21264523961155463,0.04549701556915027,0.3342964473801355,0.9731974489217663,0.9480742635452641,0.9160051689126822
35,2.3976573648539646e-05,0.056077365606035316,0.046266435619793544,0.019621860002498544,0.9749171722220672,0.9511419163443985,0.9988026709647709,0.21870322129345748,0.04579624995743103,0.34581394145432803,0.9730812531832749,0.9478444606505313,0.9137899206202695
36,2.1404630011522576e-05,0.05539144028122254,0.04565428881725883,0.019474302988900745,0.9752131039485966,0.9517013211496188,0.9989868754317293,0.19598606258224158,0.04657001919209254,0.2988320865385388,0.9735093747092559,0.9486571521358153,0.9283736385453203
37,1.8947512507439848e-05,0.053820896355870895,0.044785638891750496,0.01807051495808429,0.9756565445914014,0.9525455768815281,0.999125028781948,0.23428681445827262,0.04871258109390384,0.37114846624041137,0.9722000086202031,0.9462288726220088,0.916928189034521
38,1.66149182565299e-05,0.052288783997516824,0.04422343525260303,0.016130697437687254,0.9759298773979833,0.953060153132205,0.9998157955330417,0.2064270776061885,0.045387391583406114,0.32207937186424535,0.9738819186842196,0.9493576967786547,0.9222817057411852
39,1.4416052942640132e-05,0.051430878616718516,0.04378708991158623,0.015287577504683183,0.9761801039755454,0.9535365619712113,0.9997697444163021,0.1913099605919777,0.04454989165924819,0.2935201377033704,0.9739547129225942,0.9494933109719493,0.9304042828133653
40,1.235959448259843e-05,0.05031768505977772,0.043077859986388224,0.014479650146264452,0.9765188555691123,0.9541779672901933,0.9997697444163021,0.19246743965872007,0.04453525809807412,0.29586436203337524,0.9743151996163844,0.9501742842802255,0.9315119069595718
41,1.04536587784401e-05,0.04991281765477104,0.04266988963204304,0.014485855953009802,0.9767101244373216,0.9545408246705984,0.9995394888326042,0.20006896597182153,0.04435406552193615,0.3114298004444117,0.9741940697913325,0.9499476461459754,0.9257891822041721
42,8.70576768765026e-06,0.04909255197048736,0.042173411282084704,0.013838281470109086,0.9770052090534189,0.9551021133997164,0.999677642182823,0.1993904940476284,0.04487106869695021,0.3090388497198962,0.9742252887350268,0.950007530352359,0.9315119069595718
43,7.122819337828748e-06,0.04819542851580331,0.04175657809439285,0.01287770078630696,0.9772185070738608,0.9555082351902352,1.0,0.20039175113163074,0.04455311459579826,0.31167727375504695,0.9743406031511527,0.9502243112146327,0.9267122023260107
44,5.711060902932039e-06,0.047688574372734154,0.0413839278526563,0.01260929308174792,0.9774410696099916,0.9559335144843845,0.9999078977665209,0.1916187308690233,0.04427624535595773,0.29468497113945585,0.9744086684906377,0.950353036500008,0.9296658667158944
45,4.476063948531556e-06,0.04717684113669242,0.04104852713918927,0.012256628001266558,0.9776152075544466,0.9562641086499335,1.0,0.1912282433382793,0.043309467894115806,0.29583755122211963,0.9744135479835634,0.9503614970188928,0.9296658667158944
46,3.4227024433898985e-06,0.0468129844056583,0.04074122896263613,0.01214351080208811,0.9777791693065706,0.9565747348423601,0.9999539488832604,0.1932454846282888,0.0443656055866617,0.29775975732363563,0.9744641588324994,0.9504567404060589,0.9281890345209526
47,2.555133524132766e-06,0.04647635698291039,0.0404909767059551,0.011970760555368458,0.9779076655486232,0.9568193972440056,0.9999539488832604,0.18858375302227462,0.04433813504874706,0.2884912363419743,0.9744310389577815,0.9503954570729473,0.9311426989108362
48,1.8767810889299075e-06,0.04782196274627528,0.04040105593138637,0.01484181362257423,0.9779634066927718,0.9569253254331936,0.9988026709647709,0.1940231303461885,0.04325029211926513,0.301545676960717,0.9744930415906033,0.9505155106737199,0.9270814103747461
49,1.3903222849333503e-06,0.04669218582699751,0.04039613103792483,0.012592109665360377,0.9779965458873446,0.9569908179191814,0.9997697444163021,0.19557541684909643,0.04295662732569605,0.30523757950765434,0.974556294250629,0.950632342986301,0.9289274506184235
50,1.0976769428005576e-06,0.04630738746093562,0.04027857156418964,0.012057631744010096,0.978040597276354,0.9570718226511834,0.9998618466497813,0.19215811641232983,0.04271385120640023,0.2988885300224345,0.9744895927849773,0.9505066884829935,0.9300350747646299
